======================================================================
log10(x) x f(x)=(x^3)/6/(sinh(x)-x)  f1(x)  f1_blad_wzgledny f2(x) f2_blad_wzgledny
======================================================================
-10 1.00000000000000000001837793049583664e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.98999999999999999979183318288278315 1.02329299228075413096952184738910034e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.9799999999999999995836663657655663 1.04712854805089953344259954258185765e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.97000000000000000024286128663675299 1.0715193052376064174414131552809636e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.96000000000000000003469446951953614 1.09647819614318501311012367254548287e-10 1 inf inf 0.999999999999999999945789891375724778 -16.0000000000000000104083408558608426
-9.94999999999999999982652765240231929 1.12201845430196343556056128497497716e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.93999999999999999961836083528510244 1.14815362149688275155590518569044153e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.93000000000000000027755575615628914 1.1748975549395295417650661782783561e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.92000000000000000006938893903907228 1.20226443461741290576953585630182009e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.90999999999999999986122212192185543 1.23026877081238153418410833169108153e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.89999999999999999965305530480463858 1.25892541179416721044207812065840537e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.89000000000000000031225022567582528 1.28824955169313396281173993701777577e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.88000000000000000010408340855860843 1.31825673855640710203606203068943814e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.86999999999999999989591659144139157 1.34896288259165360930278373349313647e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.85999999999999999968774977432417472 1.38038426460288483783640129362915188e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.85000000000000000034694469519536142 1.4125375446227543021705871385359398e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.84000000000000000013877787807814457 1.44543977074592751193674745505883324e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.82999999999999999993061106096092772 1.47910838816820742224996119220427129e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.81999999999999999972244424384371086 1.51356124843620816251796930536383476e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.81000000000000000038163916471489756 1.54881661891248134471553670397698735e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.80000000000000000017347234759768071 1.58489319246111348515781937437285301e-10 1 inf inf 1 -16.0000000000000000104083408558608426
